市政部门,市政府,407
市政部门,市卫生健康委,96
市政部门,市疾控中心,82
市政部门,市体育局,18
市政部门,市教育局,55
市政部门,市交通局,4
市政部门,市统计局,3
市政部门,市公安局,52
市政部门,市工信局,12
市政部门,市水务局,5
市政部门,市财政局,18
市政部门,市商务局,66
市政部门,市协作办,10
市政部门,市文化广电旅游局,53
市政部门,市市场监管局,23
市政部门,市委宣传部,183
市政部门,市农业农村局,8
市政部门,市未保委,9
市政部门,市农业农村局,8
市政部门,市工信局,12
市政部门,市交通运输局,29
市政部门,市发展改革委,9
市政部门,市生态环境局,3
市政部门,市工信局,12
市政部门,市大湾区办,20
市政部门,开发区规划和自然资源局,2
市政部门,市司法局,39
市政部门,市委宣传部文资办,1
市政部门,市统计局,3
市政部门,市大湾区办,20
市政部门,市住房和城乡建设局,9
市政部门,市水务局,5
市政部门,市协作办,10
市政部门,市疾控中心,82
市政部门,市民政局儿童福利处,3
市政部门,市人力资源社会保障局,5
市政部门,市妇女联合会妇女儿童社会服务中心,2
市政部门,市社会科学院,21
市政部门,市未保办,8
市政部门,市贸促会,12
市政部门,团市委,42
市政部门,市人民检察院,5
市政部门,省人大常委会,7
市政部门,省委宣传部电影管理处,3
市政部门,省委宣传部文改办,1
市政部门,省防控新冠肺炎临床专家组,1
市政部门,越秀区委常委,15
市政部门,花都区委常委,10
市政部门,广东关爱妇女儿童服务中心,5
研究机构,中国会展经济研究会,3
研究机构,市社科院文化产业研究中心,2
研究机构,日本东京都立大学研究生院,3
研究机构,中国信息通信研究院广州分院,2
研究机构,中国电子信息产业发展研究院,4
研究机构,广州质量监督检测研究院,2
研究机构,广州市林业和园林科学研究院,1
研究机构,中国电器科学研究院,5
研究机构,中国电子信息产业发展研究院,4
研究机构,广东南方软实力研究院,1
研究机构,广东华南低碳产业发展研究院,1
研究机构,中国会展经济研究会,3
研究机构,人工智能与数字经济广东省实验室,10
国资单位,广铁集团,7
国资单位,广药集团,33
国资单位,市青年文化宫,5
国资单位,广东粤剧院,7
国资单位,市广播电视台,6
国资单位,建设银行广州分行,12
民营企业,广州广之旅国际旅行社股份有限公司,2
民营企业,广州正佳文旅集团,2
民营企业,广州购书中心,23
民营企业,腾讯文旅产品,3
民营企业,融创文旅集团,2
民营企业,小鹏汽车,37
民营企业,阿里巴巴集团,9
民营企业,新华科技集团,14
民营企业,中船黄埔文冲船舶有限公司,3
民营企业,巨轮智能装备股份有限公司企业,2
民营企业,广州为想互联网科技有限公司,2
民营企业,广佛惠超高清视频和智能家电产业集群,1
民营企业,经济日报出版社,13
民营企业,博纳影业集团,17
民营企业,黄埔文化（广州）发展集团有限公司,3
民营企业,北京网聘咨询有限公司广州分公司（智联招聘）,2
民营企业,世展和新展联合展览（广州）有限公司,1
民营企业,德国国际企业家商会中国区项目部,2
民营企业,Mexarts漾美集团,3
民营企业,漾美设计院,3
民营企业,日本HARAN建筑设计事务所,3
民营企业,意大利建筑设计师,3
民营企业,希腊米骆库设计,3
民营企业,珠影影视制作有限公司,3
民营企业,中影南方新干线,3
民营企业,金逸院线,4
民营企业,百老汇百丽宫影城,2
相关协会,市律师协会婚姻家庭法律专业委员会,5
相关协会,省律师协会,5
相关协会,广东会展组展企业协会,5
相关协会,省游戏产业协会,12
相关协会,市电竞行业协会,10
相关协会,省电影行业协会,5
相关协会,广东会展组展企业协会,5
相关协会,2020智能网联汽车驾驶大赛（广州）裁判委员会,4
相关协会,广州超高清视频产业促进会,1
相关协会,广州市杂技协会,1
相关协会,广州市促进文化艺术繁荣发展基金会,4
相关协会,广东省戏剧家协会,1
相关协会,中国影协,13
高校,华南理工大学,36
高校,南方医科大学,68
高校,广州大学,39
高校,华南理工大学,36
高校,暨南大学,4
高校,中山大学,49
高校,市机电技师学院,4
医院,广东省人民医院,4
医院,广州市第一人民医院,32
律政,广东五美律师事务所,9
律政,广东连越律师事务所,5
律政,广东竞宇律师事务所,6
特殊个人,宏观经济学者,1
特殊个人,中国科学院院士,2
特殊个人,全国人大代表,6
特殊个人,抗疫医护,7
特殊个人,小学生,17
