报社,省级,南方都市报,7
报社,市级,广州日报,2
报社,省级,南方日报,5
报社,省级,羊城晚报,1
广播电视,市级,广州广电,11
广播电视,国家级,中央广电,8
广播电视,省级,广东广电,9
广播电视,省级,凤凰卫视,5
互联网,国家级,央广网,1
互联网,省级,澎湃新闻,1
通讯社,国家级,新华社,3
报社,省级,南方都市报,4
报社,市级,广州日报,2
报社,省级,南方日报,2
报社,省级,羊城晚报,1
广播电视,市级,广州广电,6
广播电视,国家级,中央广电,4
广播电视,省级,广东广电,5
广播电视,省级,凤凰卫视,3
互联网,国家级,央广网,1
互联网,省级,澎湃新闻,1
通讯社,国家级,新华社,1
报社,省级,南方都市报,5
报社,省级,南方日报,4
广播电视,市级,广州广电,6
广播电视,国家级,中央广电,3
广播电视,省级,凤凰卫视,2
广播电视,省级,广东广电,5
互联网,省级,澎湃新闻,1
通讯社,省级,新华社,1
报社,市级,广州日报,2
报社,省级,南方都市报,4
报社,省级,南方日报,2
广播电视,国家级,中央广电,4
广播电视,省级,广东广电,6
广播电视,市级,广州广电,4
互联网,省级,澎湃新闻,1
通讯社,国家级,新华社,1
报社,市级,广州日报,2
报社,省级,南方都市报,3
报社,省级,南方日报,3
广播电视,国家级,中央广电,2
广播电视,省级,广东广电,3
广播电视,市级,广州广电,4
广播电视,省级,凤凰卫视,2
互联网,省级,澎湃新闻,1
通讯社,国家级,新华社,2
报社,市级,广州日报,1
报社,省级,南方都市报,2
报社,省级,南方日报,2
广播电视,国家级,中央广电,5
广播电视,省级,广东广电,4
广播电视,市级,广州广电,4
广播电视,省级,凤凰卫视,2
报社,市级,广州日报,1
报社,省级,南方都市报,2
报社,省级,南方日报,2
报社,省级,羊城晚报,1
广播电视,国家级,中央广电,4
广播电视,省级,广东广电,5
广播电视,市级,广州广电,5
广播电视,省级,凤凰卫视,2
互联网,国家级,央广网,1
通讯社,国家级,新华社,2
报社,省级,南方都市报,3
报社,市级,广州日报,2
广播电视,市级,广州广电,3
广播电视,国家级,中央广电,3
广播电视,省级,广东广电,2
报社,省级,南方日报,5
报社,国家级,中国日报广东记者站,1
报社,市级,广州日报,3
报社,国家级,经济日报,1
报社,省级,羊城晚报,3
报社,省级,南方都市报,1
广播电视,市级,广州广电,3
广播电视,国家级,中央广电,2
广播电视,省级,广东广电,3
互联网,国家级,央广网,3
通讯社,国家级,新华社,1
报社,省级,南方都市报,8
报社,市级,广州日报,9
报社,省级,南方日报,12
报社,省级,羊城晚报,4
报社,国家级,中国日报广东记者站,1
报社,国家级,新华报,1
报社,国家级,国际商报,1
报社,省级,澳门日报,2
报社,省级,新快报,1
报社,省级,信息时报,1
报社,国家级,中国青年报,1
广播电视,省级,广东广电,12
广播电视,市级,广州广电,14
广播电视,国家级,中央广电,10
广播电视,省级,凤凰卫视,4
广播电视,国家级,中国国际广播电台,2
互联网,国家级,央广网,4
互联网,省级,澎湃新闻,1
通讯社,国家级,新华社,4
通讯社,国家级,中国新闻社,1
报社,省级,南方日报,14
报社,市级,广州日报,9
报社,省级,羊城晚报,7
报社,国家级,中国经济导报,1
报社,省级,南方都市报,3
报社,国家级,中国日报广东记者站,1
报社,国家级,国际商报,2
报社,国家级,新华报,1
报社,国家级,中国青年报,1
报社,国家级,人民日报,1
报社,国家级,经济日报,1
广播电视,省级,广东广电,11
广播电视,市级,广州广电,13
广播电视,国家级,中央广电,8
广播电视,省级,凤凰卫视,1
广播电视,市级,三沙卫视,1
广播电视,国家级,中国国际广播电台,1
互联网,国家级,央广网,7
互联网,省级,第一财经,1
通讯社,国家级,中国新闻社,1
通讯社,国家级,中国新闻社广东分社,1
通讯社,国家级,新华社,6
报社,省级,南方日报,2
广播电视,省级,广东广电,1
广播电视,市级,广州广电,1
广播电视,国家级,中央广电,1
